address,zipCode,city,state,price,bed,bath,sqft,pricePerSf,lotArea,lotAreaType,zillowUrl,latitude,longitude,homeType,imageUrl
"3422 Buena Vista Ct, Oakville, ON L6L 6W6",L6L6W6,Oakville,ON,2425000.0,4.0,5.0,,,6020.3514,sqft,https://zillow.com/homedetails/3422-Buena-Vista-Ct-Oakville-ON-L6L-6W6/449612973_zpid/,43.378242,-79.723915,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e84344940c26dc662e0736970003914c-p_e.jpg
"3094 Blackfriar Cmn, Oakville, ON L6H 0R3",L6H0R3,Oakville,ON,1200000.0,4.0,3.0,,,2140.2927,sqft,https://zillow.com/homedetails/3094-Blackfriar-Cmn-Oakville-ON-L6H-0R3/2080278297_zpid/,43.491844,-79.72174,TOWNHOUSE,https://photos.zillowstatic.com/fp/9cd4451548f2c16ad93c4102e8a0338a-p_e.jpg
"1428 Ford Strathy Cres, Oakville, ON L6H 3W8",L6H3W8,Oakville,ON,2900995.0,5.0,4.0,,,4491.6027,sqft,https://zillow.com/homedetails/1428-Ford-Strathy-Cres-Oakville-ON-L6H-3W8/447639471_zpid/,43.509136,-79.709885,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/becc5275f988c472152303b98f7b32c6-p_e.jpg
"384 Wadsworth St, Oakville, ON L6K 2A3",L6K2A3,Oakville,ON,1349000.0,3.0,2.0,1068.0,1263.11,7584.0,sqft,https://zillow.com/homedetails/384-Wadsworth-St-Oakville-ON-L6K-2A3/447297531_zpid/,43.437008,-79.690834,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aea63f958d6153121bd90a550cf41d79-p_e.jpg
"18 Abbeywood Cres, Guelph, ON N1K 1T9",N1K1T9,Guelph,ON,899900.0,4.0,4.0,1398.0,643.71,4650.0,sqft,https://zillow.com/homedetails/18-Abbeywood-Cres-Guelph-ON-N1K-1T9/449397562_zpid/,43.525806,-80.27824,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d52ecb140d41db1201b280d0033db6fc-p_e.jpg
"145 Kortright Rd W, Guelph, ON N1G 3N9",N1G3N9,Guelph,ON,899999.0,5.0,2.0,1493.0,602.81,5151.0,sqft,https://zillow.com/homedetails/145-Kortright-Rd-W-Guelph-ON-N1G-3N9/2062928517_zpid/,43.51516,-80.21942,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7f12c564d072e5560a63917f2296b9f3-p_e.jpg
"15 Abbeywood Cres, Guelph, ON N1K 1T9",N1K1T9,Guelph,ON,899900.0,5.0,2.0,1553.0,579.46,,,https://zillow.com/homedetails/15-Abbeywood-Cres-Guelph-ON-N1K-1T9/449324760_zpid/,43.525528,-80.27865,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6da83c5655e0966a2c51aa11cca2f934-p_e.jpg
"155 Stephanie Dr, Guelph, ON N1K 1X7",N1K1X7,Guelph,ON,899900.0,4.0,3.0,,,3565.8117,sqft,https://zillow.com/homedetails/155-Stephanie-Dr-Guelph-ON-N1K-1X7/401704918_zpid/,43.528328,-80.27611,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/aa1d03278de9154e76c04cac8515a086-p_e.jpg
"244 Alma St N, Guelph, ON N1H 5Y2",N1H5Y2,Guelph,ON,679900.0,4.0,2.0,979.0,694.48,5300.0,sqft,https://zillow.com/homedetails/244-Alma-St-N-Guelph-ON-N1H-5Y2/449844461_zpid/,43.542816,-80.2728,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/99f89cbb99300a484ca35c082747d7ac-p_e.jpg
"1291 Gordon St #218, Guelph, ON N1L 0M5",N1L0M5,Guelph,ON,549900.0,3.0,3.0,,,,,https://zillow.com/homedetails/1291-Gordon-St-218-Guelph-ON-N1L-0M5/2066471311_zpid/,43.513924,-80.200325,APARTMENT,https://photos.zillowstatic.com/fp/610d1835ad663221453e75e3484ec823-p_e.jpg
"29 Golfview Rd, Guelph, ON N1E 1A5",N1E1A5,Guelph,ON,779000.0,7.0,2.0,,,5460.0,sqft,https://zillow.com/homedetails/29-Golfview-Rd-Guelph-ON-N1E-1A5/2064656765_zpid/,43.574535,-80.26695,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0e1de56443f4084e63fad50ade9ecb93-p_e.jpg
"144 Country Club Dr, Guelph, ON N1E 3K9",N1E3K9,Guelph,ON,839900.0,4.0,2.0,,,6027.78,sqft,https://zillow.com/homedetails/144-Country-Club-Dr-Guelph-ON-N1E-3K9/449836590_zpid/,43.574154,-80.26983,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8efd5a02d47ef3c95e76e4aab86cfdec-p_e.jpg
"126 Queen St, Guelph, ON N1E 4S1",N1E4S1,Guelph,ON,849500.0,5.0,2.0,,,2053.5,sqft,https://zillow.com/homedetails/126-Queen-St-Guelph-ON-N1E-4S1/449844831_zpid/,43.553062,-80.25177,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fc69d7219065a1469d51141921d2c2c2-p_e.jpg
"227 Dimson Ave, Guelph, ON N1G 3C7",N1G3C7,Guelph,ON,1200000.0,4.0,3.0,,,0.179,sqft,https://zillow.com/homedetails/227-Dimson-Ave-Guelph-ON-N1G-3C7/449840036_zpid/,43.52455,-80.21152,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9a33580317e545296501005969afa307-p_e.jpg
"10 Kearney St, Guelph, ON N1E 7H2",N1E7H2,Guelph,ON,749900.0,3.0,2.0,,,4002.4002,sqft,https://zillow.com/homedetails/10-Kearney-St-Guelph-ON-N1E-7H2/449642288_zpid/,43.564793,-80.22176,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3946e34dc5143efe63568f6b6851ad0f-p_e.jpg
"62 Kearney St, Guelph, ON N1E 7H4",N1E7H4,Guelph,ON,775000.0,3.0,2.0,,,2831.63,sqft,https://zillow.com/homedetails/62-Kearney-St-Guelph-ON-N1E-7H4/2057933701_zpid/,43.565083,-80.224884,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4a88b88e67961420e41a851c30a1c74e-p_e.jpg
"46 Caledonia St, Guelph, ON N1G 2C9",N1G2C9,Guelph,ON,1050000.0,5.0,2.0,,,9081.9612,sqft,https://zillow.com/homedetails/46-Caledonia-St-Guelph-ON-N1G-2C9/449628424_zpid/,43.530674,-80.237526,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/135f3de709a961b20613e1bc56daac96-p_e.jpg
"22 Tolton Dr, Guelph, ON N1L 0C5",N1L0C5,Guelph,ON,1149900.0,4.0,3.0,2424.0,474.38,5097.1661,sqft,https://zillow.com/homedetails/22-Tolton-Dr-Guelph-ON-N1L-0C5/449631844_zpid/,43.509056,-80.17816,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ce4c6153b274d70cc2b1b02b4f02214d-p_e.jpg
"755 Willow Rd #38, Guelph, ON N1K 2A2",N1K2A2,Guelph,ON,899900.0,3.0,3.0,,,,,https://zillow.com/homedetails/755-Willow-Rd-38-Guelph-ON-N1K-2A2/2060849170_zpid/,43.526165,-80.30161,TOWNHOUSE,https://photos.zillowstatic.com/fp/c22ef2cb728b980b5a03f73dba707b3b-p_e.jpg
"31 Reid Ct, Guelph, ON N0B 2J0",N0B2J0,Guelph,ON,3389000.0,6.0,4.0,,,0.5,acres,https://zillow.com/homedetails/31-Reid-Ct-Guelph-ON-N0B-2J0/401785030_zpid/,43.51382,-80.23145,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/cf0809e0c03fc14885c985a470f4a041-p_e.jpg
"37 Swift Cres, Guelph, ON N1E 7J3",N1E7J3,Guelph,ON,750000.0,3.0,3.0,,,2716.01,sqft,https://zillow.com/homedetails/37-Swift-Cres-Guelph-ON-N1E-7J3/448870826_zpid/,43.5705,-80.21791,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fd8873ee94219b86006e88186139754c-p_e.jpg
"26 Ontario St #310, Guelph, ON N1E 7K1",N1E7K1,Guelph,ON,599900.0,2.0,2.0,1100.0,545.36,,,https://zillow.com/homedetails/26-Ontario-St-310-Guelph-ON-N1E-7K1/448840931_zpid/,43.54495,-80.23999,CONDO,https://photos.zillowstatic.com/fp/a3602c62f2bc13630eb1e311b3a44a6c-p_e.jpg
"120 Huron St #421, Guelph, ON N1E 0S7",N1E0S7,Guelph,ON,525000.0,1.0,1.0,627.0,837.32,,,https://zillow.com/homedetails/120-Huron-St-421-Guelph-ON-N1E-0S7/374898882_zpid/,43.547634,-80.23565,CONDO,https://photos.zillowstatic.com/fp/2f3716ec5b2a9a2304618bf98cb2ae41-p_e.jpg
"18 Valleyview Dr, Guelph, ON N1H 6E3",N1H6E3,Guelph,ON,729900.0,3.0,2.0,,,6060.0,sqft,https://zillow.com/homedetails/18-Valleyview-Dr-Guelph-ON-N1H-6E3/449326727_zpid/,43.542503,-80.27931,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ac6392613b016557a8252e6094f57706-p_e.jpg
"23 Fountain St W, Guelph, ON N1H 3P1",N1H3P1,Guelph,ON,534900.0,2.0,1.0,,,4109.62,sqft,https://zillow.com/homedetails/23-Fountain-St-W-Guelph-ON-N1H-3P1/449377658_zpid/,43.540802,-80.24744,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/beee8231c5cf65e4ad80421e40428fcf-p_e.jpg
"16 Fairview Blvd, Guelph, ON N1G 1H4",N1G1H4,Guelph,ON,979900.0,4.0,2.0,,,6989.02,sqft,https://zillow.com/homedetails/16-Fairview-Blvd-Guelph-ON-N1G-1H4/2062741557_zpid/,43.53568,-80.2388,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b96de173b1ddf159aee59326c0f2c6b3-p_e.jpg
"30 McGarr Ct, Guelph, ON N1L 1N5",N1L1N5,Guelph,ON,1329900.0,5.0,4.0,2813.0,472.77,,,https://zillow.com/homedetails/30-McGarr-Ct-Guelph-ON-N1L-1N5/449355333_zpid/,43.50895,-80.18564,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b9196e87d8f302878487197c529325f8-p_e.jpg
"265 London Rd W, Guelph, ON N1H 2C7",N1H2C7,Guelph,ON,749900.0,3.0,1.0,1592.0,471.04,4536.0,sqft,https://zillow.com/homedetails/265-London-Rd-W-Guelph-ON-N1H-2C7/449036471_zpid/,43.542652,-80.267075,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/dcc57eb9f6e94a8e84c75474ec87ac0c-p_e.jpg
"36 Rosewood Ave, Guelph, ON N1H 5Z9",N1H5Z9,Guelph,ON,839900.0,5.0,2.0,,,6566.0,sqft,https://zillow.com/homedetails/36-Rosewood-Ave-Guelph-ON-N1H-5Z9/449397514_zpid/,43.539444,-80.271454,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9b56883ff545dee99c1934e59a6b103a-p_e.jpg
"114 Lovett Ln, Guelph, ON N1G 0G9",N1G0G9,Guelph,ON,1499999.0,3.0,3.0,2751.0,545.26,,,https://zillow.com/homedetails/114-Lovett-Ln-Guelph-ON-N1G-0G9/446855955_zpid/,43.514877,-80.212395,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/baaa3c5750d2c69437659dd75b2ed574-p_e.jpg
"66 Grange St, Guelph, ON N1E 2V2",N1E2V2,Guelph,ON,2950000.0,5.0,6.0,,,0.5664600550964187,acres,https://zillow.com/homedetails/66-Grange-St-Guelph-ON-N1E-2V2/353465393_zpid/,43.552395,-80.24162,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9e9ee438f86aa83d89fdc08f6259bb32-p_e.jpg
"89 Westwood Rd #308, Guelph, ON N1H 7J6",N1H7J6,Guelph,ON,399900.0,2.0,2.0,925.0,432.32,,,https://zillow.com/homedetails/89-Westwood-Rd-308-Guelph-ON-N1H-7J6/440609460_zpid/,43.53221,-80.279755,CONDO,https://photos.zillowstatic.com/fp/9876041cbec952eedfe3904a36ff220a-p_e.jpg
"341 Cole Rd, Guelph, ON N1G 3G7",N1G3G7,Guelph,ON,675000.0,3.0,2.0,1080.0,625.0,,,https://zillow.com/homedetails/341-Cole-Rd-Guelph-ON-N1G-3G7/449583467_zpid/,43.507557,-80.23413,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3cb7073c4e5cc2de1433b3196bd3dc83-p_e.jpg
"63 Durham St, Guelph, ON N1H 2Y4",N1H2Y4,Guelph,ON,1649000.0,3.0,3.0,2311.0,713.54,4494.0,sqft,https://zillow.com/homedetails/63-Durham-St-Guelph-ON-N1H-2Y4/2064696006_zpid/,43.541492,-80.25501,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f708680b5bad034bc2b701b47c8a2261-p_e.jpg
"163 Marksam Rd, Guelph, ON N1H 7L1",N1H7L1,Guelph,ON,749000.0,6.0,2.0,,,4344.9444,sqft,https://zillow.com/homedetails/163-Marksam-Rd-Guelph-ON-N1H-7L1/449402117_zpid/,43.538868,-80.29002,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a556694961b9a3861a03be82195b91b5-p_e.jpg
"65 Silvercreek Pkwy N #307, Guelph, ON N1H 7R9",N1H7R9,Guelph,ON,309900.0,3.0,3.0,1075.0,288.28,,,https://zillow.com/homedetails/65-Silvercreek-Pkwy-N-307-Guelph-ON-N1H-7R9/2064607341_zpid/,43.536263,-80.274124,CONDO,https://photos.zillowstatic.com/fp/a078e66a5fd28d9f1ff1be174649c706-p_e.jpg
"16 McGarr Dr, Guelph, ON N1L 1N4",N1L1N4,Guelph,ON,999900.0,4.0,4.0,,,,,https://zillow.com/homedetails/16-McGarr-Dr-Guelph-ON-N1L-1N4/448640791_zpid/,43.508503,-80.186356,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/517230a6081c97ff8f6bfabe1802414c-p_e.jpg
"45 Regent St, Guelph, ON N1E 4W5",N1E4W5,Guelph,ON,710000.0,2.0,2.0,,,5527.5,sqft,https://zillow.com/homedetails/45-Regent-St-Guelph-ON-N1E-4W5/351547802_zpid/,43.549442,-80.243614,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/72da547ae0f1d87242874f268010cda3-p_e.jpg
"71 Koch Dr, Guelph, ON N1G 4H5",N1G4H5,Guelph,ON,799999.0,4.0,3.0,1300.0,615.38,3437.8904,sqft,https://zillow.com/homedetails/71-Koch-Dr-Guelph-ON-N1G-4H5/447666519_zpid/,43.51566,-80.22676,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/432c2bc6c20e8e3f5ed9ef6bed53a9d4-p_e.jpg
"15 Clearview St, Guelph, ON N1E 6C4",N1E6C4,Guelph,ON,899900.0,4.0,3.0,,,9797.0,sqft,https://zillow.com/homedetails/15-Clearview-St-Guelph-ON-N1E-6C4/2064644499_zpid/,43.557796,-80.21871,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5066c232959f2cc5902dfe0639280b3a-p_e.jpg
"39 Kay Cres #25, Guelph, ON N1L 0N5",N1L0N5,Guelph,ON,650000.0,3.0,2.0,1414.0,459.69,,,https://zillow.com/homedetails/39-Kay-Cres-25-Guelph-ON-N1L-0N5/379925481_zpid/,43.50389,-80.18171,TOWNHOUSE,https://photos.zillowstatic.com/fp/9efdb9675e39af4e8a28b1018d50ce51-p_e.jpg
"8 Mackay St, Guelph, ON N1E 7H3",N1E7H3,Guelph,ON,849900.0,4.0,2.0,1558.0,545.51,,,https://zillow.com/homedetails/8-Mackay-St-Guelph-ON-N1E-7H3/448828799_zpid/,43.564354,-80.22464,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/17f2cd5f66a60a9d789bbabcc3a2fcc7-p_e.jpg
"154 Renfield St, Guelph, ON N1E 4B2",N1E4B2,Guelph,ON,599999.0,3.0,2.0,,,6600.0,sqft,https://zillow.com/homedetails/154-Renfield-St-Guelph-ON-N1E-4B2/449030737_zpid/,43.569992,-80.25634,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a2144b9b12ca0550b55c13f9bc8e012b-p_e.jpg
"93 Westwood Rd #306, Guelph, ON N1H 7J7",N1H7J7,Guelph,ON,575000.0,3.0,2.0,,,,,https://zillow.com/homedetails/93-Westwood-Rd-306-Guelph-ON-N1H-7J7/447795758_zpid/,43.53229,-80.281006,APARTMENT,https://photos.zillowstatic.com/fp/eb70968f972a0e568bcc4fbf342b1c06-p_e.jpg
"46 Robin Rd, Guelph, ON N1L 1H4",N1L1H4,Guelph,ON,1579000.0,4.0,4.0,2815.0,560.92,7497.0,sqft,https://zillow.com/homedetails/46-Robin-Rd-Guelph-ON-N1L-1H4/2064636792_zpid/,43.52348,-80.20316,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d8e3e3ce5840ca5a637388a9ec7dac80-p_e.jpg
"59 Deerpath Dr, Guelph, ON N1K 1V1",N1K1V1,Guelph,ON,949900.0,4.0,4.0,,,3906.429,sqft,https://zillow.com/homedetails/59-Deerpath-Dr-Guelph-ON-N1K-1V1/2071810137_zpid/,43.526047,-80.27754,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0e2f9e712d9f67f10cc2c7d403614a64-p_e.jpg
"150 Wellington St E #507, Guelph, ON N1H 0B5",N1H0B5,Guelph,ON,534999.0,1.0,1.0,831.0,643.8,,,https://zillow.com/homedetails/150-Wellington-St-E-507-Guelph-ON-N1H-0B5/443993310_zpid/,43.546143,-80.24393,CONDO,https://photos.zillowstatic.com/fp/19cf9ba9d066101cb197357064549692-p_e.jpg
"10 Ajax St #203, Guelph, ON N1H 7N6",N1H7N6,Guelph,ON,199000.0,3.0,2.0,,,,,https://zillow.com/homedetails/10-Ajax-St-203-Guelph-ON-N1H-7N6/441804667_zpid/,43.536835,-80.27531,APARTMENT,https://photos.zillowstatic.com/fp/e7df3f02c3fdb74ff5cb44f5eba893fc-p_e.jpg
"129 Victoria Rd N #8, Guelph, ON N1E 6V3",N1E6V3,Guelph,ON,599900.0,2.0,2.0,,,,,https://zillow.com/homedetails/129-Victoria-Rd-N-8-Guelph-ON-N1E-6V3/2055304844_zpid/,43.562305,-80.237946,TOWNHOUSE,https://photos.zillowstatic.com/fp/7fdb598a579fab4f01d2c4dad7ea5ed6-p_e.jpg
"324 Edinburgh Rd S, Guelph, ON N1G 2K5",N1G2K5,Guelph,ON,599900.0,2.0,2.0,,,3887.59,sqft,https://zillow.com/homedetails/324-Edinburgh-Rd-S-Guelph-ON-N1G-2K5/440150573_zpid/,43.52603,-80.24199,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2886a6df3300c8b969288ccfffcffdf3-p_e.jpg
"103 Surrey St E, Guelph, ON N1H 3P7",N1H3P7,Guelph,ON,599900.0,3.0,1.0,1292.0,464.32,3656.2071,sqft,https://zillow.com/homedetails/103-Surrey-St-E-Guelph-ON-N1H-3P7/351363142_zpid/,43.54422,-80.24385,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ec7009fab982c2ce17b34c2c6e11cc40-p_e.jpg
"18 Islington Ave, Guelph, ON N1E 6K7",N1E6K7,Guelph,ON,848000.0,4.0,2.0,,,5498.9,sqft,https://zillow.com/homedetails/18-Islington-Ave-Guelph-ON-N1E-6K7/448458282_zpid/,43.57793,-80.26312,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9770804a5a8eac2d05498ac9f4edcbb8-p_e.jpg
"76 B Cardigan St, Guelph, ON N1H 0A4",N1H0A4,Guelph,ON,610000.0,1.0,1.0,866.0,704.39,,,https://zillow.com/homedetails/76-B-Cardigan-St-Guelph-ON-N1H-0A4/2064702845_zpid/,43.550426,-80.25474,CONDO,https://photos.zillowstatic.com/fp/6587f65f41eccac6052dbb7aaabffc54-p_e.jpg
"138 Dublin St N, Guelph, ON N1H 4N7",N1H4N7,Guelph,ON,2099999.0,4.0,3.0,3316.0,633.29,5101.5,sqft,https://zillow.com/homedetails/138-Dublin-St-N-Guelph-ON-N1H-4N7/2066094153_zpid/,43.54556,-80.25523,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ba8026ecdb8fb335dcb9cb608eca9553-p_e.jpg
"124 Elizabeth St, Guelph, ON N1E 2X3",N1E2X3,Guelph,ON,615000.0,2.0,1.0,800.0,768.75,6018.0,sqft,https://zillow.com/homedetails/124-Elizabeth-St-Guelph-ON-N1E-2X3/448674622_zpid/,43.5505,-80.23871,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/71986e73379e65e7dcc50bec1c54fca5-p_e.jpg
"29 Stanley St, Guelph, ON N1H 1L4",N1H1L4,Guelph,ON,749900.0,3.0,2.0,1240.0,604.76,4327.25,sqft,https://zillow.com/homedetails/29-Stanley-St-Guelph-ON-N1H-1L4/449319341_zpid/,43.554806,-80.27102,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0550ccf7b48f24cce62bcd223ba7d66e-p_e.jpg
"82 Lynch Cir, Guelph, ON N1L 1S1",N1L1S1,Guelph,ON,899900.0,3.0,3.0,,,3267.5886,sqft,https://zillow.com/homedetails/82-Lynch-Cir-Guelph-ON-N1L-1S1/449398035_zpid/,43.506706,-80.18438,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ef76b0810800c124d935d1bb1dc54f60-p_e.jpg
"251 Victoria Rd S, Guelph, ON N1E 5P9",N1E5P9,Guelph,ON,749900.0,4.0,3.0,,,3750.0,sqft,https://zillow.com/homedetails/251-Victoria-Rd-S-Guelph-ON-N1E-5P9/447566645_zpid/,43.550053,-80.22164,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7979ed4f96ead5e50e48763f2894ba1a-p_e.jpg
"22 Marilyn Dr #802, Guelph, ON N1H 7T1",N1H7T1,Guelph,ON,424900.0,2.0,2.0,,,,,https://zillow.com/homedetails/22-Marilyn-Dr-802-Guelph-ON-N1H-7T1/448123568_zpid/,43.563625,-80.272705,APARTMENT,https://photos.zillowstatic.com/fp/5f8ec42f879d549399a4a8a0da7af825-p_e.jpg
"24 Lyon Ave, Guelph, ON N1H 5C6",N1H5C6,Guelph,ON,1499900.0,3.0,3.0,,,4725.0,sqft,https://zillow.com/homedetails/24-Lyon-Ave-Guelph-ON-N1H-5C6/2059036366_zpid/,43.546936,-80.262764,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ebd548deedbf8a2b0826e1704878eb3e-p_e.jpg
"85 Rodgers Rd, Guelph, ON N1G 4Z5",N1G4Z5,Guelph,ON,690000.0,4.0,2.0,,,1931.2584,sqft,https://zillow.com/homedetails/85-Rodgers-Rd-Guelph-ON-N1G-4Z5/449044212_zpid/,43.511406,-80.218834,TOWNHOUSE,https://photos.zillowstatic.com/fp/eabb2967170d67a2cddb26ca44f1fb88-p_e.jpg
"358 Waterloo Ave #206, Guelph, ON N1H 7Y3",N1H7Y3,Guelph,ON,379900.0,1.0,1.0,903.0,420.71,,,https://zillow.com/homedetails/358-Waterloo-Ave-206-Guelph-ON-N1H-7Y3/447646891_zpid/,43.53153,-80.259674,CONDO,https://photos.zillowstatic.com/fp/238e05be39e91227a85484a580bd4f49-p_e.jpg
"366 Scottsdale Dr, Guelph, ON N1G 2Z8",N1G2Z8,Guelph,ON,539500.0,3.0,3.0,1219.0,442.58,,,https://zillow.com/homedetails/366-Scottsdale-Dr-Guelph-ON-N1G-2Z8/2056352878_zpid/,43.520683,-80.23832,TOWNHOUSE,https://photos.zillowstatic.com/fp/e89312910b6838bae6521140b81c26a6-p_e.jpg
"42 Liverpool St, Guelph, ON N1H 2K9",N1H2K9,Guelph,ON,2275000.0,5.0,4.0,4521.0,503.21,7738.0,sqft,https://zillow.com/homedetails/42-Liverpool-St-Guelph-ON-N1H-2K9/439190491_zpid/,43.546654,-80.254,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f8de3cd03bfcc14a0db21ccd6f12037b-p_e.jpg
"158 Ontario St, Guelph, ON N1E 3B4",N1E3B4,Guelph,ON,789500.0,4.0,3.0,,,4412.62,sqft,https://zillow.com/homedetails/158-Ontario-St-Guelph-ON-N1E-3B4/447795859_zpid/,43.545547,-80.23406,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8ce458aa614ee7522ee173a32f928826-p_e.jpg
"52 Watt St, Guelph, ON N1E 6W6",N1E6W6,Guelph,ON,900000.0,4.0,3.0,,,,,https://zillow.com/homedetails/52-Watt-St-Guelph-ON-N1E-6W6/2068488286_zpid/,43.56657,-80.23435,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/05e11e2f19de30440f3d9e6507a2a43f-p_e.jpg
"73 Arthur St N #512, Guelph, ON N1E 4T9",N1E4T9,Guelph,ON,519000.0,2.0,1.0,,,,,https://zillow.com/homedetails/73-Arthur-St-N-512-Guelph-ON-N1E-4T9/2066612087_zpid/,43.549187,-80.245735,APARTMENT,https://photos.zillowstatic.com/fp/ff973ad7193d521e13553b72aada7a55-p_e.jpg
"9 Knevitt Pl, Guelph, ON N1G 2S7",N1G2S7,Guelph,ON,2199900.0,4.0,5.0,,,,,https://zillow.com/homedetails/9-Knevitt-Pl-Guelph-ON-N1G-2S7/2055554587_zpid/,43.516537,-80.25004,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e370edc01eafdae4356c47b748b6ee1a-p_e.jpg
"74 Keating St, Guelph, ON N1E 7G1",N1E7G1,Guelph,ON,895888.0,4.0,4.0,,,3147.6624,sqft,https://zillow.com/homedetails/74-Keating-St-Guelph-ON-N1E-7G1/449408556_zpid/,43.564304,-80.217834,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/74a47c5dfb32112bfb8b6d91e0004b81-p_e.jpg
"17 Applewood Cres, Guelph, ON N1H 6B1",N1H6B1,Guelph,ON,779999.0,4.0,3.0,,,8100.0,sqft,https://zillow.com/homedetails/17-Applewood-Cres-Guelph-ON-N1H-6B1/448324412_zpid/,43.54302,-80.27739,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/30ca87b729b4c14732c2e6f3df499c0c-p_e.jpg
"15 Liverpool St, Guelph, ON N1H 2K8",N1H2K8,Guelph,ON,1949900.0,5.0,3.0,3226.0,604.43,7850.8325,sqft,https://zillow.com/homedetails/15-Liverpool-St-Guelph-ON-N1H-2K8/448714166_zpid/,43.546833,-80.25452,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b65412e3375a04a30978b78df9088e6d-p_e.jpg
"35 Mountford Dr UNIT 27, Guelph, ON N1E 0G6",N1E0G6,Guelph,ON,579000.0,3.0,2.0,1208.0,479.3,,,https://zillow.com/homedetails/35-Mountford-Dr-UNIT-27-Guelph-ON-N1E-0G6/446663193_zpid/,43.56527,-80.23304,TOWNHOUSE,https://photos.zillowstatic.com/fp/52ff959a68d039a13725aefa7736e76b-p_e.jpg
"39 Kay Cres #29, Guelph, ON N1L 0N5",N1L0N5,Guelph,ON,594900.0,2.0,2.0,,,,,https://zillow.com/homedetails/39-Kay-Cres-29-Guelph-ON-N1L-0N5/2075581790_zpid/,43.503597,-80.18145,TOWNHOUSE,https://photos.zillowstatic.com/fp/579896df5f85b43a0aa27a9da375211e-p_e.jpg
"17 Jell St, Guelph, ON N1L 0R4",N1L0R4,Guelph,ON,799000.0,3.0,3.0,1482.0,539.14,1936.157,sqft,https://zillow.com/homedetails/17-Jell-St-Guelph-ON-N1L-0R4/447562242_zpid/,43.52274,-80.19512,TOWNHOUSE,https://photos.zillowstatic.com/fp/fcf26dfbbd083806a9e3018d7dd33fc2-p_e.jpg
"39 Kay Cres #28, Guelph, ON N1L 0N5",N1L0N5,Guelph,ON,579900.0,2.0,2.0,1323.0,438.32,,,https://zillow.com/homedetails/39-Kay-Cres-28-Guelph-ON-N1L-0N5/447319565_zpid/,43.5033,-80.18187,CONDO,https://photos.zillowstatic.com/fp/73d3bff3650655b537f6698b8e2b3bd9-p_e.jpg
